,Abstract,Year
1844,"Background: Studies have shown that quantitative evaluation of coronary artery plaque on Coronary Computed Tomography Angiography (CCTA) can identify patients at risk of cardiac events. Recent demonstration of artificial intelligence (AI) assisted CCTA shows that it allows for evaluation of CAD and plaque characteristics. Based on publications to date, we are the first group to perform AI augmented CCTA serial analysis of changes in coronary plaque characteristics over 13 years. We evaluated whether AI assisted CCTA can accurately assess changes in coronary plaque progression, which has potential clinical prognostic value in CAD management. Case presentation: 51-year-old male with hypertension, hyperlipidemia and family history of myocardial infarction, underwent CCTA exams for anginal symptom evaluation and CAD assessment. 5 CCTAs were performed between 2008 and 2021. Quantitative atherosclerosis plaque characterization (APC) using an AI platform (Cleerly), was performed to assess CAD burden. Total plaque volume (TPV) change-over-time demonstrated decreasing low-density non-calcified plaque (LD-NCP) with increasing overall NCP and calcified-plaque (CP). Examination of individual segments revealed a proximal-LAD lesion with decreasing NCP over-time and increasing CP. In contrast, although the D2/D1/ramus lesions showed increasing stenosis, CP, and total plaque, there were no significant differences in NCP over-time, with stable NCP and increased CP. Remarkably, we also consistently visualized small plaques, which typically readers may interpret as false positives due to artifacts. But in this case, they reappeared each study in the same locations, generally progressing in size and demonstrating expected plaque transformation over-time. Conclusions: We performed the first AI augmented CCTA based serial analysis of changes in coronary plaque characteristics over 13 years. We were able to consistently assess progression of plaque volumes, stenosis, and APCs with this novel methodology. We found a significant increase in TPV composed of decreasing LD-NCP, and increasing NCP and CP, with variations in the evolution of APCs between vessels. Although the significance of evolving APCs needs to be investigated, this case demonstrates AI-based CCTA analysis can serve as valuable clinical tool to accurately define unique CAD characteristics over time. Prospective trails are needed to assess whether quantification of APCs provides prognostic capabilities to improve clinical care. © 2022, The Author(s).",2022
1854,"Adult mammalian cardiomyocytes have very limited capacity to proliferate and repair the myocardial infarction. However, when apical resection (AR) was performed in pig hearts on postnatal day (P) 1 (ARP1) and acute myocardial infarction (MI) was induced on P28 (MIP28), the animals recovered with no evidence of myocardial scarring or decline in contractile performance. Furthermore, the repair process appeared to be driven by cardiomyocyte proliferation, but the regulatory molecules that govern the ARP1-induced enhancement of myocardial recovery remain unclear. Single-nucleus RNA sequencing (snRNA-seq) data collected from fetal pig hearts and the hearts of pigs that underwent ARP1, MIP28, both ARP1 and MI, or neither myocardial injury were evaluated via autoencoder, cluster analysis, sparse learning, and semisupervised learning. Ten clusters of cardiomyocytes (CM1–CM10) were identified across all experimental groups and time points. CM1 was only observed in ARP1 hearts on P28 and was enriched for the expression of T-box transcription factors 5 and 20 (TBX5 and TBX20, respectively), Erb-B2 receptor tyrosine kinase 4 (ERBB4), and G Protein-Coupled Receptor Kinase 5 (GRK5), as well as genes associated with the proliferation and growth of cardiac muscle. CM1 cardiomyocytes also highly expressed genes for glycolysis while lowly expressed genes for adrenergic signaling, which suggested that CM1 were immature cardiomyocytes. Thus, we have identified a cluster of cardiomyocytes, CM1, in neonatal pig hearts that appeared to be generated in response to AR injury on P1 and may have been primed for activation of CM cell-cycle activation and proliferation by the upregulation of TBX5, TBX20, ERBB4, and GRK5. Copyright © 2022 Nguyen, Wei, Nakada, Zhou and Zhang.",2022
1159,"Optical coherence tomography (OCT) can assess calcium thickness, a key factor for predicting good stent expansion; however, it underestimates coronary calcium severity due to its penetration limitation. This study aimed to evaluate computed tomography (CT) and OCT images to assess calcification. We investigated 25 left anterior descending arteries of 25 patients, using coronary CT and OCT, and assessed their calcification. Of the 25 vessels, 1811 pairs of CT and OCT cross-sectional images were co-registered. Of the 1811 cross-sectional CT images, calcification was not detectable in 256 (14.1%) of the corresponding OCT images due to limited penetration. In the 1555 OCT calcium-detectable images, the maximum calcium thickness was not detectable in 763 (49.1%) images compared to the CT images. In CT images of slices corresponding to undetected calcium in OCT images, the angle, thickness, and maximum density of calcium were significantly smaller compared to slices corresponding to detected calcium in OCT. Calcium with an undetectable maximum thickness in the corresponding OCT image had a significantly greater calcium angle, thickness, and density than calcium with a detectable maximum thickness. There was an excellent correlation between CT and OCT with respect to calcium angle (R= 0.82, P < 0.001). The calcium thickness on the OCT image had a stronger correlation with the maximum density on the corresponding CT image (R = 0.73, P < 0.001) than with the calcium thickness on the CT image (R = 0.61, P < 0.001). Cross-sectional CT imaging allows for pre-procedural assessment of calcium morphology and severity and could complement the lack of information on calcium severity in OCT-guided percutaneous coronary intervention. © 2023, The Author(s), under exclusive licence to Springer Nature B.V.",2023
76,"Introduction: Periprosthetic joint infection (PJI) following total hip arthroplasty (THA) remains a devastating complication for patients and surgeons. Given the implications of these infections and the current paucity of risk calculators utilizing machine learning (ML), this study aimed to develop an ML algorithm that could accurately identify risk factors for developing a PJI following primary THA using a national database. Materials and methods: A total of 51,053 patients who underwent primary THA between 2013 and 2020 were identified using the American College of Surgeons National Surgical Quality Improvement Program (ACS-NSQIP) database. Demographic, preoperative, intraoperative, and immediate postoperative outcomes were collected. Five ML models were created. The receiver operating characteristic curves, the area under the curve (AUC), calibration plots, slopes, intercepts, and Brier scores were evaluated. Results: The histogram-based gradient boosting (HGB) model demonstrated good PJI discriminatory ability with an AUC of 0.88. The test-specific metrics supported the model’s performance and validation in predicting PJI (calibration curve slope: 0.79; intercept: 0.32; Brier score: 0.007). The top five predictors of PJI were the length of stay (> 3 days), patient weight at the time of surgery (> 94.3 kg), an American Society of Anesthesiologists (ASA) class of 4 or higher, preoperative platelet count (< 249,890/mm3), and preoperative sodium (< 139.5 mEq/L). Conclusion: This study developed a highly specific ML model that could predict patient-specific PJI development following primary THA. Considering the feature importance of the top predictors of infection, surgeons should counsel at-risk patients to optimize resource utilization and potentially improve surgical outcomes. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2025.",2025
316,"Background: The atherogenic index of plasma (AIP) is known to be associated with atherosclerotic burden. However, the prognostic value of AIP in patients with severe coronary artery calcification (CAC) undergoing rotational atherectomy (RA) remains unclear. This study aimed to evaluate the relationship between AIP and adverse outcomes in this patient population and to explore relevant risk factors using explainable machine learning methods. Methods: This study included patients with severe CAC who underwent RA between January 2017 and October 2024, with a median follow-up of 40.55 months. Patients were divided into three groups according to baseline AIP tertiles. The primary endpoints were cardiovascular death or all-cause death; secondary endpoints included non-fatal myocardial infarction, target vessel revascularization, and stroke. Cox regression and restricted cubic splines were used to assess the association between AIP and endpoint events. Kaplan–Meier survival analysis and log-rank tests were employed to compare differences between groups. LASSO regression was used for feature selection, and six machine learning algorithms were applied to construct predictive models for cardiac death. Finally, the SHAP method was used to interpret the model. Results: In a cohort of 513 participants (58.28% male), multivariable Cox analysis showed that compared with the lowest AIP tertile, the highest AIP tertile was associated with significantly increased risks of various adverse events: cardiovascular death (HR 2.40, 95% CI 1.40–4.13), all-cause death (HR 1.68, 95% CI 1.13–2.51), non-fatal myocardial infarction (HR 2.27, 95% CI 1.20–4.29), target vessel revascularization (HR 1.74, 95% CI 1.04–2.90), and stroke (HR 1.92, 95% CI 1.00–3.69). Restricted cubic spline analysis indicated a dose–response relationship between AIP and the risk of adverse outcomes. Subgroup analysis suggested that the association between AIP and mortality was stronger in elderly patients, those with cardiac dysfunction, or those with poor glycemic control. Among the six machine learning algorithms, the random forest model demonstrated the best predictive performance for cardiac death (AUC = 0.800). SHAP analysis identified AIP as one of the key features driving the model’s predictions. Kaplan–Meier curves revealed that patients in the high-AIP group had worse long-term clinical outcomes. Conclusion: AIP was independently associated with adverse outcomes in patients with severe CAC undergoing RA. The integration of this low-cost, readily available biomarker into explainable machine learning frameworks offers a promising avenue for enhancing risk prediction models. © The Author(s) 2025.",2026
1040,"Background: Assessment of left ventricular ejection fraction (LVEF) and myocardial deformation with global longitudinal strain (GLS) has shown promise in predicting adverse cardiovascular events. The aim of this study was to evaluate whether artificial intelligence (AI) calculated LVEF and GLS is associated with major adverse cardiac events (MACE) and all-cause mortality in patients presenting with chest pain. Methods: We studied 296 patients presenting with chest pain, who underwent transthoracic echocardiography (TTE). Clinical data, downstream clinical investigations and patient outcomes were collected. Resting TTE images underwent AI contouring for automated calculation of LVEF and GLS with Ultromics EchoGo Core 2.0. Regression analysis was performed to identify clinical and AI calculated parameters associated with MACE and all-cause mortality. Results: During a median follow-up period of 7.8 years (IQR 6.4, 8.8), MACE occurred in 34 (11.5%) patients and all-cause mortality in 60 (20%) patients. AI calculated LVEF (Odds Ratio [OR].96; 95% CI.93–.99 and.96; 95% CI.93–.99) and GLS (1.11; 95% CI 1.01–1.21 and 1.08; 95% CI 1.00–1.16) were independently associated with MACE and all-cause mortality, respectively. According to Cox proportional hazards, a LVEF < 50% was associated with a 3.7 times MACE and 2.8 times all-cause mortality hazard rate compared to those with a LVEF ≥ 50%. Those with a GLS ≥ 15% was associated with a 2.5 times MACE and 2.3 times all-cause mortality hazard rate compared to those with a GLS ≤ 15. Conclusion: AI calculated resting LVEF and GLS is independently associated with MACE and all-cause mortality in high CVD risk patients. These results may have significant clinical implications through improved risk stratification of patients with chest pain, accelerated workflow of labour-intensive technical measures, and reduced healthcare costs. © 2023 The Authors. Echocardiography published by Wiley Periodicals LLC.",2023
1357,"Objective Based on the development of artificial intelligence (AI), an emerging number of methods have achieved outstanding performances in the diagnosis of acute myocardial infarction (AMI) using an electrocardiogram (ECG). However, AI-ECG analysis using a multicenter prospective design for detecting AMI has yet to be conducted. This prospective multicenter observational study aims to validate an AI-ECG model for detecting AMI in patients visiting the emergency department. Methods Approximately 9,000 adult patients with chest pain and/or equivalent symptoms of AMI will be enrolled in 18 emergency medical centers in Korea. The AI-ECG analysis algorithm we developed and validated will be used in this study. The primary endpoint is the diagnosis of AMI on the day of visiting the emergency center, and the secondary endpoint is a 30-day major adverse cardiac event. From March 2022, patient registration has begun at centers approved by the institutional review board. Discussion This is the first prospective study designed to identify the efficacy of an AI-based 12lead ECG analysis algorithm for diagnosing AMI in emergency departments across multiple centers. This study may provide insights into the utility of deep learning in detecting AMI on electrocardiograms in emergency departments. Trial registration ClinicalTrials.gov identifier: NCT05435391. Registered on June 28, 2022. © 2023 The Korean Society of Emergency Medicine.",2023
924,"Heart sound auscultation coupled with machine learning algorithms is a risk-free and low-cost method for coronary artery disease detection (CAD). However, current studies mainly focus on CAD screening, namely classifying CAD and non-CAD, due to limited clinical data and algorithm performance. This leaves a gap to investigate CAD severity by phonocardiogram (PCG). To solve the issue, we first establish a clinical PCG dataset for CAD patients. The dataset includes 150 subjects with 80 severe CAD and 70 non-severe CAD patients. Then, we propose the large kernel convolution interaction network (LKCIN) to detect CAD severity. It integrates automatic feature extraction and pattern classification and simplifies PCG processing steps. The developed large kernel interaction block (LKIB) has three properties: long-distance dependency, local receptive field, and channel interaction, which efficiently improves feature extraction capabilities in LKCIN. Apart from it, a separate downsampling block is proposed to alleviate feature losses during forward propagation, following the LKIBs. Experiment is performed on the clinical PCG data, and LKCIN obtains good classification performance with accuracy 85.97 %, sensitivity 85.64 %, and specificity 86.26 %. Our study breaks conventional CAD screening, and provides a reliable option for CAD severity detection in clinical practice. © 2024 Elsevier Ltd",2025
757,"Background: Prediction of mortality in hospitalized patients is a crucial and important problem. Several severity scoring systems over the past few decades and machine learning models for mortality prediction have been developed to predict in-hospital mortality. Our aim in this study was to apply machine learning (ML) algorithms using QTc interval to predict in-hospital mortality in ACS patients and compare them to the validated conventional risk scores. Results: This study was retrospective, using supervised learning, and data mining. Out of a cohort of 500 patients admitted to a tertiary care hospital from September 2018 to August 2020, who presented with ACS. Prediction models for in-hospital mortality in ACS patients were developed using 3 ML algorithms. We employed the ensemble learning random forest (RF) model, the Naive Bayes (NB) model and the rule-based projective adaptive resonance theory (PART) model. These models were compared to one another and to two conventional validated risk scores; the Global Registry of Acute Coronary Events (GRACE) risk score and Thrombolysis in Myocardial Infarction (TIMI) risk score. Out of the 500 patients included in our study, 164 (32.8%) patients presented with unstable angina, 148 (29.6%) patients with non-ST-elevation myocardial infarction (NSTEMI) and 188 (37.6%) patients were having ST-elevation myocardial infarction (STEMI). 64 (12.8%) patients died in-hospital and the rest survived. Performance of prediction models was measured in an area under the receiver operating characteristic curve (AUC) ranged from 0.83 to 0.93 using all available variables compared to the GRACE score (0.9 SD 0.05) and the TIMI score (0.75 SD 0.02). Using QTc as a stand-alone variable yielded (0.67 SD 0.02) with a cutoff value 450 using Bazett’s formula, whereas using QTc in addition to other variables of personal and clinical data and other ECG variables, the result was 0.8 SD 0.04. Results of RF and NB models were almost the same, but PART model yielded the least results. There was no significant difference of AUC values after replacing the missing values and applying class balancer. Conclusions: The proposed method can effectively predict patients at high risk of in-hospital mortality early in the setting of ACS using only clinical and ECG data. Prolonged QTc interval can be used as a risk predictor of in-hospital mortality in ACS patients. © The Author(s) 2024.",2024
1591,[No abstract available],2023
964,"Background: Wearable fitness trackers generate extensive physiological and activity data, offering potential to monitor health and predict outcomes. Machine learning (ML) techniques applied to these data may enable early identification of adverse health conditions, such as hospitalizations and development of cardiovascular diseases (CVD). This study aimed to evaluate ML models' ability to forecast the incidence of (1) hospitalizations from any cause and (2) of new diagnosis of CVD, including a composite of heart failure (HF), coronary artery disease or myocardial infarction (CAD-MI), cardiomyopathy (CMP), and atrial fibrillation (AF). Method and Results: Data from 14,157 participants in the All of Us study that included both Fitbit and electronic health record (EHR) information were censored on the date preceding events and analyzed using various ML classifiers for extracted feature data. Performance metrics included accuracy, area under the receiver operating characteristic (AUROC) curve, and F1 scores. Our overall study population was young (median age 54 years), with good representation of women (67%). For hospitalizations, a Random Forest classifier achieved the best performance (AUROC=0.95, accuracy=0.99, F1 score=0.92). For the CVD events, the best prediction model was gradient boosting (AUROC=0.80, accuracy=0.71, F1 score=0.15). Conclusion: ML models applied to Fitbit data demonstrate promise in predicting clinical outcomes with strong performance for predicting all-cause hospitalizations and modest performance for predicting incident CVD. Wearable technology could play a role in risk assessment and patient management. © 2025 The Author(s)",2025
1197,"Objective. Myocardial infarction (MI) is a prevalent cardiovascular disease that contributes to global mortality rates. Timely diagnosis and treatment of MI are crucial in reducing its fatality rate. Currently, electrocardiography (ECG) serves as the primary tool for clinical diagnosis. However, detecting MI accurately through ECG remains challenging due to the complex and subtle pathological ECG changes it causes. To enhance the accuracy of ECG in detecting MI, a more thorough exploration of ECG signals is necessary to extract significant features. Approach. In this paper, we propose an interpretable shapelet-based approach for MI detection using dynamic learning and deep learning. Firstly, the intrinsic dynamics of ECG signals are learned through dynamic learning. Then, a deep neural network is utilized to extract and select shapelets from ECG dynamics, which can capture locally specific ECG changes, and serve as discriminative features for identifying MI patients. Finally, the ensemble model for MI detection is built by integrating shapelets of multi-dimensional ECG dynamic signals. Main results. The performance of the proposed method is evaluated on the public PTB dataset with accuracy, sensitivity, and specificity of 94.11%, 94.97%, and 90.98%. Significance. The shapelets obtained in this study exhibit significant morphological differences between MI and healthy subjects. © 2024 Institute of Physics and Engineering in Medicine.",2024
1087,"This paper proposes a phase-to-depth deep learning model to repair shadow-induced errors for fringe projection profilometry (FPP). The model comprises two hourglass branches that extract information from texture images and phase maps and fuses the information from the two branches by concatenation and weights. The input of the proposed model contains texture images, masks, and unwrapped phase maps, and the ground truth is the depth map from CAD models. A loss function was chosen to consider image details and structural similarity. The training data contain 1200 samples in the verified virtual FPP system. After training, we conduct experiments on the virtual and real-world scanning data, and the results support the model’s effectiveness. The mean absolute error and the root mean squared error are (Formula presented.) mm and (Formula presented.) mm on the validation dataset. In addition, we analyze the influence of ambient light intensity on the model’s performance. Low ambient light limits the model’s performance as the model cannot extract valid information from the completely dark shadow regions in texture images. The contribution of each branch network is also investigated. Features from the texture-dominant branch are leveraged as guidance to remedy shadow-induced errors. Information from the phase-dominant branch network makes accurate predictions for the whole object. Our model provides a good reference for repairing shadow-induced errors in the FPP system. © 2023 by the authors.",2023
678,"Objective: This study aims to investigate the impact of adaptive statistical iterative reconstruction-Veo (ASIR-V) and deep learning image reconstruction (DLIR) algorithms on the quantification of pericoronary adipose tissue (PCAT) and epicardial adipose tissue (EAT). Furthermore, we propose to explore the feasibility of correcting the effects through fat threshold adjustment. Methods: A retrospective analysis was conducted on the imaging data of 134 patients who underwent coronary CT angiography (CCTA) between December 2023 and January 2024. These data were reconstructed into seven datasets using filtered back projection (FBP), ASIR-V at three different intensities (ASIR-V 30%, ASIR-V 50%, ASIR-V 70%), and DLIR at three different intensities (DLIR-L, DLIR-M, DLIR-H). Repeated-measures ANOVA was used to compare differences in fat, PCAT and EAT attenuation values among the reconstruction algorithms, and Bland-Altman plots were used to analyze the agreement between ASIR-V or DLIR and FBP algorithms in PCAT attenuation values. Results: Compared to FBP, ASIR-V 30 %, ASIR-V 50 %, ASIR-V 70 %, DLIR-L, DLIR-M, and DLIR-H significantly increased fat attenuation values (−103.91 ± 12.99 HU, −102.53 ± 12.68 HU, −101.14 ± 12.78 HU, −101.81 ± 12.41 HU, −100.87 ± 12.25 HU, −99.08 ± 12.00 HU vs. −105.95 ± 13.01 HU, all p < 0.001). When the fat threshold was set at −190 to −30 HU, ASIR-V and DLIR algorithms significantly increased PCAT and EAT attenuation values compared to FBP algorithm (all p < 0.05), with these values increasing as the reconstruction intensity level increased. After correction with a fat threshold of −200 to −35 HU for ASIR-V 30 %, −200 to −40 HU for ASIR-V 50 % and DLIR-L, and −200 to −45 HU for ASIR-V 70 %, DLIR-M, and DLIR-H, the mean differences in PCAT attenuation values between ASIR-V or DLIR and FBP algorithms decreased (−0.03 to 1.68 HU vs. 2.35 to 8.69 HU), and no significant difference was found in PCAT attenuation values between FBP and ASIR-V 30 %, ASIR-V 50 %, ASIR-V 70 %, DLIR-L, and DLIR-M (all p > 0.05). Conclusion: Compared to the FBP algorithm, ASIR-V and DLIR algorithms increase PCAT and EAT attenuation values. Adjusting the fat threshold can mitigate the impact of ASIR-V and DLIR algorithms on PCAT attenuation values. © 2025 Elsevier B.V.",2025
371,"Background: Digitalization and big health system data open new avenues for targeted prevention and treatment strategies. We aimed to develop and validate prediction models for stroke and myocardial infarction (MI) in patients with type 2 diabetes based on routinely collected high-dimensional health insurance claims and compared predictive performance of traditional regression with state-of-the-art machine learning including deep learning methods. Methods: We used German health insurance claims from 2014 to 2019 with 287 potentially relevant literature-derived variables to predict 3-year risk of MI and stroke. Following a train-test split approach, we compared the performance of logistic methods with and without forward selection, LASSO-regularization, random forests (RF), gradient boosting (GB), multi-layer-perceptrons (MLP) and feature-tokenizer transformers (FTT). We assessed discrimination (Areas Under the Precision-Recall and Receiver-Operator Curves, AUPRC and AUROC) and calibration. Results: Among n = 371,006 patients with type 2 diabetes (mean age: 67.2 years), 3.5% (n = 13,030) had MIs and 3.4% (n = 12,701) strokes. AUPRCs were 0.035 (MI) and 0.034 (stroke) for a null model, between 0.082 (MLP) and 0.092 (GB) for MI, and between 0.061 (MLP) and 0.073 (GB) for stoke. AUROCs were 0.5 for null models, between 0.70 (RF, MLP, FTT) and 0.71 (all other models) for MI, and between 0.66 (MLP) and 0.69 (GB) for stroke. All models were well calibrated. Conclusions: Discrimination performance of claims-based models reached a ceiling at around 0.09 AUPRC and 0.7 AUROC. While for AUROC this performance was comparable to existing epidemiological models incorporating clinical information, comparison of other, potentially more relevant metrics, such as AUPRC, sensitivity and Positive Predictive Value was hampered by lack of reporting in the literature. The fact that machine learning including deep learning methods did not outperform more traditional approaches may suggest that feature richness and complexity were exploited before the choice of algorithm could become critical to maximize performance. Future research might focus on the impact of different feature derivation approaches on performance ceilings. In the absence of other more powerful screening alternatives, applying transparent regression-based models in routine claims, though certainly imperfect, remains a promising scalable low-cost approach for population-based cardiovascular risk prediction and stratification. © The Author(s) 2025.",2025
1487,"Purpose: This study aimed to investigate the risk factors of prognosis and hemorrhagic transformation after mechanical thrombectomy (MT) in patients with posterior circulation acute ischemic stroke (PC-AIS) caused by large vessel occlusion. We sought to develop a nomogram for predicting the risk of poor prognosis and symptomatic intracerebral hemorrhage (sICH) in patients with PC-AIS. Methods: A retrospective analysis was conducted on 81 patients with PC-AIS who underwent MT treatment. We collected clinical information from the patients to assessed sICH and prognosis based on CT results and National Institutes of Health Stroke Scale (NIHSS) scores. Subsequently, they were followed up for 3 months, and their prognosis was assessed using the Modified Rankin Scale. We used the least absolute shrinkage and selection operator (LASSO) and multivariate logistic regression to determine the factors affecting prognosis to construct a nomogram. The nomogram’s performance was assessed through receiver operating characteristic curves, calibration curves, decision curve analysis, and clinical impact curves. Results: Among the 81 patients with PC-AIS, 33 had a good prognosis, 48 had a poor prognosis, 19 presented with sICH, and 62 did not present with sICH. The results of the LASSO regression indicated that variables, including HPT, baseline NIHSS score, peak SBP, SBP CV, SBP SD, peak SBP, DBP CV, HbA1c, and BG SD, were predictors of patient prognosis. Variables such as AF, peak SBP, and peak DBP predicted the risk of sICH. Multivariate logistic regression revealed that baseline NIHSS score (OR = 1.115, 95% CI 1.002–1.184), peak SBP (OR = 1.060, 95% CI 1.012–1.111), SBP CV (OR = 1.296, 95% CI 1.036–1.621) and HbA1c (OR = 3.139, 95% CI 1.491–6.609) were independent risk factors for prognosis. AF (OR = 6.823, 95% CI 1.606–28.993), peak SBP (OR = 1.058, 95% CI 1.013–1.105), and peak DBP (OR = 1.160, 95% CI 1.036–1.298) were associated with the risk of sICH. In the following step, nomograms were developed, demonstrating good discrimination, calibration, and clinical applicability. Conclusion: We constructed nomograms to predict poor prognosis and risk of sICH in patients with PC-AIS undergoing MT. The model exhibited good discrimination, calibration, and clinical applicability. Copyright © 2024 Li, Zhang, Li, Li, Wu and Wang.",2024
1157,[No abstract available],2023
1978,"Background: Globally, most deaths result from cardiovascular diseases, particularly ischemic heart disease. COVID-19 affects the heart, worsening existing heart conditions and causing myocardial injury. The mechanistic link between COVID-19 and acute myocardial infarction (AMI) is still being investigated to elucidate the underlying molecular perspectives. Methods: Genetic risk assessment was conducted using two-sample Mendelian randomization (TSMR) to determine the causality between COVID-19 and AMI. Weighted gene co-expression network analysis (WGCNA) and machine learning were used to discover and validate shared hub genes for the two diseases using bulk RNA sequencing (RNA-seq) datasets. Additionally, gene set enrichment analysis (GSEA) and single-cell RNA-seq (scRNA-seq) analyses were performed to characterize immune cell infiltration, communication, and immune correlation of the hub genes. To validate the findings, the expression patterns of hub genes were confirmed in clinical blood samples collected from COVID-19 patients with AMI. Results: TSMR did not find evidence supporting a causal association between COVID-19 or severe COVID-19 and AMI. In the bulk RNA-seq discovery cohorts for both COVID-19 and AMI, WGCNA’s intersection analysis and machine learning identified TLR4 and ABCA1 as significant hub genes, demonstrating high diagnostic and predictive value in the RNA-seq validation cohort. Single-gene GSEA and single-sample GSEA (ssGSEA) revealed immune and inflammatory roles for TLR4 and ABCA1, linked to various immune cell infiltrations. Furthermore, scRNA-seq analysis unveiled significant immune dysregulation in COVID-19 patients, characterized by altered immune cell proportions, phenotypic shifts, enhanced cell-cell communication, and elevated TLR4 and ABCA1 in CD16 monocytes. Lastly, the increased expression of TLR4, but not ABCA1, was validated in clinical blood samples from COVID-19 patients with AMI. Conclusion: No genetic causal link between COVID-19 and AMI and dysregulated TLR4 and ABCA1 may be responsible for the development of immune and inflammatory responses in COVID-19 patients with AMI. Copyright © 2023 Zheng, Zhou, Song, Ying and Tan.",2023
1001,"Background: There is limited real-world data of lipid control and healthcare costs among patients with and without Atherosclerotic Cardiovascular Disease (ASCVD) in Latin America. Methods: A retrospective cohort study including patients with LDL-cholesterol (LDL-C) assessment from 2015 to 2017 was performed in a health insurance database. Patient characteristics, comorbidities and laboratory data were collected, and International Classification of Diseases (ICD) codes were used to identify a subcohort of patients with ASCVD (secondary prevention) and assess the proportion of these patients with LDL-C controlled. Lipid control among patients without ASCVD (primary prevention) and healthcare costs in one year in the overall population were also assessed. Results: From the 17,434 patients selected, 5,208 (29.8%) had ASCVD. The mean age of these patients in secondary prevention was 68.9 (±12.3) years and 47.8% were male patients. LDL-C < 70 mg/dL was identified in 19.1% of the ASCVD population and only 4.1% had an LDL-C < 50 mg/dL. LDL control was worse in women compared to men (13.1% vs. 25.7%; P < 0.01). The average cost in one year was 3,591 American dollars (USD) per patient in primary prevention compared to 8,210 dollars per year for patients in secondary prevention (P < 0.01). While outpatient costs accounted for 59.8% of the total cost in the primary prevention group, the main cost of the secondary prevention population was related to hospital costs (54.1%). Conclusion: Despite the favorable evidence for intensive cholesterol reduction, the evaluation of large real-world database with more than 17,000 individuals showed that the targets of guideline recommendations have not yet been adequately incorporated into clinical practice. Average annual cost per patient in secondary prevention is more than twice compared to primary prevention. Hospital expenses account for most of the cost in the secondary prevention group, while outpatient costs predominate in primary prevention. © 2024 Ubiquity Press. All rights reserved.",2024
30,"Background: Coronary artery disease (CAD) is recognized as an inflammatory condition and remains a leading cause of morbidity and mortality worldwide. Cardiovascular disease (CVD), more broadly, is a major contributor to global death and disability. This study aimed to compare the diagnostic performance of various noninvasive techniques for detecting CAD. Methods: A cross-sectional study was conducted involving 758 participants, including 508 patients diagnosed with CAD and 250 without the disease. The diagnostic performance of two machine learning models—artificial neural networks (ANNs) and support vector machines (SVMs)—was evaluated. The classification models were assessed using receiver operating characteristic (ROC) curves, sensitivity, specificity, and overall accuracy. Results: The study included a total of 758 participants. Among them, 250 individuals (33.6% male and 66.4% female) were diagnosed as non-CAD cases, while 508 participants (64% male, 36% female) were identified as having CAD. The area under the ROC curve (AUC) for CAD prediction was 0.752 (95% CI: 0.682–0.823) using the ANN model and 0.793 (95% CI: 0.733–0.853) using the SVM model. A statistically significant difference was observed between the performance of the two models in predicting CAD (p = 0.03), with the SVM model demonstrating superior predictive performance (AUC = 0.793, 95% CI: 0.733–0.853). Conclusions: SVMs demonstrated superior performance compared to ANNs in predicting the risk of CAD using simple clinical predictors. Copyright © 2026 Sahar Shariatnia et al. Cardiology Research and Practice published by John Wiley & Sons Ltd.",2026
49,"Objective: – To evaluate the impact of Super-Resolution Deep Learning Reconstruction (SR-DLR) (Canon Medical Systems Corporation) on image quality and myocardial hemodynamic parameters in dynamic myocardial computed tomography (CT) perfusion compared with filtered-back projection (FBP), hybrid iterative reconstruction (IR), and normal-resolution deep learning reconstruction (NR-DLR). Methods: – This prospective single-center study included 25 patients (mean age ± SD, 65 ± 10; 21 men) who underwent dynamic myocardial CT perfusion. For qualitative analysis, image noise, signal-to-noise ratio (SNR), and contrast-to-noise ratio (CNR) were assessed, while qualitative analysis included overall image quality and lesion visibility. Myocardial blood flow (MBF) at rest and stress, as well as coronary flow reserve (CFR) were analyzed. Image quality and hemodynamic parameters were compared across 4 reconstruction methods. Results: – SR-DLR achieved the lowest image noise (20.33 ± 2.45 HU), significantly lower than FBP (145.20 ± 74.81 HU), hybrid IR (47.19 ± 10.02 HU), and NR-DLR (22.92 ± 2.63 HU) (P < 0.001). In rest imaging, SR-DLR showed significantly higher SNR (6.71 ± 1.88) and CNR (15.41 ± 5.48) compared with other reconstruction methods (P < 0.001). Similar improvements were observed in stress imaging, with SR-DLR providing significantly enhanced SNR and CNR compared with all other methods. The mean CFR was 2.75 ± 1.88 for SR-DLR, 2.75 ± 1.99 for NR-DLR, 2.74 ± 2.44 for hybrid IR, and 2.56 ± 3.17 for FBP, with no statistically significant differences observed in any pairwise comparisons. Qualitative analysis showed that SR-DLR achieved the highest overall image quality and lesion visibility, significantly outperforming FBP and comparable to hybrid IR and NR-DLR. Conclusions: – SR-DLR and NR-DLR significantly enhanced image quality by reducing noise and improving SNR and CNR while maintaining hemodynamic quantification. Copyright © 2026 Wolters Kluwer Health, Inc. All rights reserved.",2026
